"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit";
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde";
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit";
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable";
"ACTIVITY";"Activité économique";"_T";"Total";
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable";
"CONSOLIDATION";"Consolidation";"N";"Non consolidé";
"CONSOLIDATION";"Consolidation";"C";"Consolidé";
"CONSOLIDATION";"Consolidation";"P";"Partiellement consolidé ou agrégat contenant à la fois des valeurs consolidées et non consolidées";
"CONSOLIDATION";"Consolidation";"CC";"Données consolidées intra et inter";
"CONSOLIDATION";"Consolidation";"FC_INTRA";"FC_INTRA";
"CONSOLIDATION";"Consolidation";"FC_INTRA_INTER";"FC_INTRA_INTER";
"CONSOLIDATION";"Consolidation";"CI";"Consolidant";
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde";
"COUNTERPART_AREA";"Zone de contrepartie";"4Y";"Institutions de l’Union Européenne";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1";"Économie totale";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S13111";"État";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S13";"Administrations publiques";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S13112";"Organismes divers d’administration centrale";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1314";"Administrations de sécurité sociale";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S212";"Institutions de l’Union Européenne";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S2";"Reste du monde";
"DECIMALS";"Décimales";"1";"Un";
"DECIMALS";"Décimales";"3";"Trois";
"DECIMALS";"Décimales";"0";"Zéro";
"EXPENDITURE";"Type de dépense de consommation";"_Z";"Total";
"EXPENDITURE";"Type de dépense de consommation";"GF0306";"    03.6 - Ordre et sécurité publics n.c.a.";
"EXPENDITURE";"Type de dépense de consommation";"GF0305";"    03.5 - R-D concernant l'ordre et la sécurité publics";
"EXPENDITURE";"Type de dépense de consommation";"GF0304";"    03.4 - Administration pénitentiaire";
"EXPENDITURE";"Type de dépense de consommation";"GF0402";"    04.2 - Agriculture, sylviculture, pêche et chasse";
"EXPENDITURE";"Type de dépense de consommation";"GF0401";"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi";
"EXPENDITURE";"Type de dépense de consommation";"GF0405";"    04.5 - Transports";
"EXPENDITURE";"Type de dépense de consommation";"GF0101";"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères";
"EXPENDITURE";"Type de dépense de consommation";"GF0403";"    04.3 - Combustibles et énergie";
"EXPENDITURE";"Type de dépense de consommation";"GF0102";"    01.2 - Aide économique extérieure";
