"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit";
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable";
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit";
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde";
"ACTIVITY";"Activité économique";"_T";"Total";
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable";
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde";
"COUNTERPART_AREA";"Zone de contrepartie";"W2";"Territoire national";
"COUNTERPART_AREA";"Zone de contrepartie";"W1";"Reste du monde";
"DECIMALS";"Décimales";"1";"Un";
"DECIMALS";"Décimales";"3";"Trois";
"EXPENDITURE";"Type de dépense de consommation";"_Z";"Total";
"EXPENDITURE";"Type de dépense de consommation";"CP1112";"Cantines, cafétérias et réfectoires (S)";
"EXPENDITURE";"Type de dépense de consommation";"CP04";"Logement, eau, gaz, électricité et autres combustibles";
"EXPENDITURE";"Type de dépense de consommation";"CP121P_122";"Assurances (hors assurance-vie) et services financiers";
"EXPENDITURE";"Type de dépense de consommation";"CP083";"Services d’information et de communication";
"EXPENDITURE";"Type de dépense de consommation";"CP011";"Produits alimentaires";
"EXPENDITURE";"Type de dépense de consommation";"CPDPE";"Dépense de consommation finale pré-engagée";
"EXPENDITURE";"Type de dépense de consommation";"CP0111";"Céréales et produits à base de céréales (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP01";"Produits alimentaires et boissons non alcoolisées";
"EXPENDITURE";"Type de dépense de consommation";"CP0113";"Poisson et autres fruits de mer (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0115";"Huiles et graisses (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0116";"Fruits et fruits à coque (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0112";"Animaux vivants, viandes et autres parties d’animaux terrestres abattus (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0118";"Sucre, confiserie et desserts (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0114";"Lait, produits laitiers divers et œufs (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP012";"Boissons non alcoolisées";
"EXPENDITURE";"Type de dépense de consommation";"CP0117";"Légumes, tubercules, bananes plantains, bananes de cuisine et légumes secs (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0121";"Jus de fruits et de légumes (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0119";"Plats préparés et autres produits alimentaires (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0123";"Thé, maté et autres produits d’origine végétale pour tisanes (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0126";"Boissons rafraîchissantes (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0129";"Autres boissons non alcoolisées (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0125";"Eau (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0122";"Café et succédanés de café (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP021";"Boissons alcoolisées";
"EXPENDITURE";"Type de dépense de consommation";"CP0212";"Vin (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0213";"Bière (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP0211";"Spiritueux et liqueurs (ND)";
"EXPENDITURE";"Type de dépense de consommation";"CP02";"Boissons alcoolisées, tabac et stupéfiants";
"EXPENDITURE";"Type de dépense de consommation";"CP023";"Tabac";
"EXPENDITURE";"Type de dépense de consommation";"CP03";"Articles d’habillement et chaussures";
"EXPENDITURE";"Type de dépense de consommation";"CP024";"Stupéfiants";
"EXPENDITURE";"Type de dépense de consommation";"CP031";"Articles d’habillement";
