"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit";
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit";
"ACTIVITY";"Activité économique";"_T";"Total";
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable";
"CONSOLIDATION";"Consolidation";"N";"Non consolidé";
"COUNTERPART_AREA";"Zone de contrepartie";"W2";"Territoire national";
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde";
"COUNTERPART_AREA";"Zone de contrepartie";"W08";"Intérieur vis-à-vis du monde plus reste du monde vis-à-vis de l'intérieur";
"COUNTERPART_AREA";"Zone de contrepartie";"W1";"Reste du monde";
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1";"Économie totale";
"DECIMALS";"Décimales";"1";"Un";
"DECIMALS";"Décimales";"3";"Trois";
"EXPENDITURE";"Type de dépense de consommation";"_Z";"Total";
"FREQ";"Fréquence";"A";"Annuel";
"INSTR_ASSET";"Classe d'actifs passifs";"_Z";"Total";
"INSTR_ASSET";"Classe d'actifs passifs";"F";"Total";
"INSTR_ASSET";"Classe d'actifs passifs";"F1";"Or monétaire et droits de tirage spéciaux (DTS)";
"INSTR_ASSET";"Classe d'actifs passifs";"F2";"Numéraire et dépôts";
"INSTR_ASSET";"Classe d'actifs passifs";"F21";"Numéraire";
"INSTR_ASSET";"Classe d'actifs passifs";"F22";"Dépôts transférables";
"INSTR_ASSET";"Classe d'actifs passifs";"F29";"Autres dépôts";
"INSTR_ASSET";"Classe d'actifs passifs";"F3";"Titres de créance";
"INSTR_ASSET";"Classe d'actifs passifs";"F31";"Titres de créance à court terme";
"INSTR_ASSET";"Classe d'actifs passifs";"F32";"Titres de créance à long terme";
"INSTR_ASSET";"Classe d'actifs passifs";"F4";"Crédits";
"INSTR_ASSET";"Classe d'actifs passifs";"F41";"Crédits à court terme";
"INSTR_ASSET";"Classe d'actifs passifs";"F42";"Crédits à long terme";
"INSTR_ASSET";"Classe d'actifs passifs";"F5";"Actions et parts de fonds d’investissement";
"INSTR_ASSET";"Classe d'actifs passifs";"F51";"Actions";
"INSTR_ASSET";"Classe d'actifs passifs";"F511";"Actions cotées";
"INSTR_ASSET";"Classe d'actifs passifs";"F512";"Actions non cotées";
"INSTR_ASSET";"Classe d'actifs passifs";"F519";"Autres participations ";
"INSTR_ASSET";"Classe d'actifs passifs";"F52";"Parts de fonds d’investissement";
"INSTR_ASSET";"Classe d'actifs passifs";"F521";"Parts de fonds d’investissement monétaires";
"INSTR_ASSET";"Classe d'actifs passifs";"F522";"Parts de fonds d’investissement non monétaires";
"INSTR_ASSET";"Classe d'actifs passifs";"F6";"Systèmes d’assurance, de pension et de garanties standard";
"INSTR_ASSET";"Classe d'actifs passifs";"F61";"Provisions techniques d’assurance dommages";
"INSTR_ASSET";"Classe d'actifs passifs";"F62";"Droits sur les assurances vie et rentes";
"INSTR_ASSET";"Classe d'actifs passifs";"F66";"Réserves pour appels dans le cadre de garanties standard";
"INSTR_ASSET";"Classe d'actifs passifs";"F7";"Produits financiers dérivés et options sur titres des salariés";
"INSTR_ASSET";"Classe d'actifs passifs";"F71";"Produits financiers dérivés";
"INSTR_ASSET";"Classe d'actifs passifs";"F8";"Autres comptes à recevoir / à payer";
"INSTR_ASSET";"Classe d'actifs passifs";"F81";"Crédits commerciaux et avances";
"INSTR_ASSET";"Classe d'actifs passifs";"F89";"Autres comptes à recevoir / à payer, hors crédits commerciaux et avances";
"INSTR_ASSET";"Classe d'actifs passifs";"B90";"Valeur nette";
"INSTR_ASSET";"Classe d'actifs passifs";"FN";"Total des actifs";
"INSTR_ASSET";"Classe d'actifs passifs";"FONDP";"Fonds propres";
"INSTR_ASSET";"Classe d'actifs passifs";"NG";"Total des actifs non financiers (brut)";
"INSTR_ASSET";"Classe d'actifs passifs";"N1G";"Actifs non financiers produits (brut)";
