"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit";
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit";
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde";
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable";
"ACTIVITY";"Activité économique";"G";"Commerce ; réparation d'automobiles et de motocycles";
"ACTIVITY";"Activité économique";"A";"Agriculture, sylviculture et pêche";
"ACTIVITY";"Activité économique";"S96";"Autres services personnels";
"ACTIVITY";"Activité économique";"C16T18";"Travail du bois, industries du papier et imprimerie";
"ACTIVITY";"Activité économique";"P";"Enseignement";
"ACTIVITY";"Activité économique";"P85";"Enseignement";
"ACTIVITY";"Activité économique";"I";"Hébergement et restauration";
"ACTIVITY";"Activité économique";"C10";"Industries alimentaires";
"ACTIVITY";"Activité économique";"H53";"Activités de poste et de courrier";
"ACTIVITY";"Activité économique";"N80T82";"Enquêtes et sécurité ; services relatifs aux bâtiments et aménagement paysager ; autres activités de soutien";
"ACTIVITY";"Activité économique";"Q87_88";"Hébergement médico-social et social et action sociale sans hébergement";
"ACTIVITY";"Activité économique";"B_D_E";"Industries extractives, énergie, eau, gestion des déchets et dépollution";
"ACTIVITY";"Activité économique";"R";"Arts, spectacles et activités récréatives";
"ACTIVITY";"Activité économique";"J";"Information et communication";
"ACTIVITY";"Activité économique";"M69T71";"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques";
"ACTIVITY";"Activité économique";"C22_23";"Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques";
"ACTIVITY";"Activité économique";"S";"Autres activités de services";
"ACTIVITY";"Activité économique";"M_N";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";
"ACTIVITY";"Activité économique";"C20";"Industrie chimique";
"ACTIVITY";"Activité économique";"C10T12";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";
"ACTIVITY";"Activité économique";"RTU";"Arts, divertissement et loisirs ; autres activités de services ; activités des ménages, des organismes et organisations extraterritoriaux";
"ACTIVITY";"Activité économique";"C16";"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie";
"ACTIVITY";"Activité économique";"S95";"Réparation d'ordinateurs et de biens personnels et domestiques";
"ACTIVITY";"Activité économique";"Q";"Santé humaine et action sociale";
"ACTIVITY";"Activité économique";"L";"Activités immobilières";
"ACTIVITY";"Activité économique";"L68";"Activités immobilières";
"ACTIVITY";"Activité économique";"OTQ";"Administration publique, défense, enseignement, santé humaine et action sociale";
"ACTIVITY";"Activité économique";"C17";"Industrie du papier et du carton";
"ACTIVITY";"Activité économique";"BTE";"Industrie manufacturière, industries extractives et autres";
"ACTIVITY";"Activité économique";"J59_60";"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale ; programmation et diffusion";
"ACTIVITY";"Activité économique";"O";"Administration publique";
"ACTIVITY";"Activité économique";"O84";"Administration publique et défense ; sécurité sociale obligatoire";
"ACTIVITY";"Activité économique";"M69_70";"Activités juridiques et comptables ; conseil de gestion ; activités des sièges sociaux";
"ACTIVITY";"Activité économique";"C19";"Cokéfaction et raffinage";
"ACTIVITY";"Activité économique";"J62_63";"Programmation, conseil et autres activités informatiques ; services d'information";
"ACTIVITY";"Activité économique";"H";"Transports et entreposage";
"ACTIVITY";"Activité économique";"C27";"Fabrication d'équipements électriques";
"ACTIVITY";"Activité économique";"T";"Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";
"ACTIVITY";"Activité économique";"S94";"Activités des organisations associatives";
"ACTIVITY";"Activité économique";"C28";"Fabrication de machines et équipements n.c.a.";
"ACTIVITY";"Activité économique";"Q86";"Activités pour la santé humaine";
"ACTIVITY";"Activité économique";"N79";"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";
"ACTIVITY";"Activité économique";"N";"Activités de services administratifs et de soutien";
"ACTIVITY";"Activité économique";"C29_30";"Fabrication de matériels de transport";
"ACTIVITY";"Activité économique";"K";"Activités financières et d'assurance";
"ACTIVITY";"Activité économique";"C31_32";"Autres industries manufacturières n.c.a.";
"ACTIVITY";"Activité économique";"J61";"Télécommunications";
"ACTIVITY";"Activité économique";"M72";"Recherche-développement scientifique";
"ACTIVITY";"Activité économique";"D";"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";
"ACTIVITY";"Activité économique";"D35";"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";
"ACTIVITY";"Activité économique";"M73";"Publicité et études de marché";
"ACTIVITY";"Activité économique";"B";"Industries extractives";
"ACTIVITY";"Activité économique";"C_OTH";"Autres industries manufacturières (C15, C23, C27, C31, C32, C33)";
"ACTIVITY";"Activité économique";"M73T75";"Publicité et études de marché ; autres activités spécialisées, scientifiques et techniques ; activités vétérinaires";
"ACTIVITY";"Activité économique";"C26";"Fabrication de produits informatiques, électroniques et optiques";
"ACTIVITY";"Activité économique";"M71";"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";
"ACTIVITY";"Activité économique";"C26T28";"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a.";
"ACTIVITY";"Activité économique";"C33";"Réparation et installation de machines et d'équipements";
"ACTIVITY";"Activité économique";"E37T39";"Collecte et traitement des eaux usées, traitement des déchets et dépollution";
"ACTIVITY";"Activité économique";"C25";"Fabrication de produits métalliques, à l'exception des machines et des équipements";
"ACTIVITY";"Activité économique";"C31T33";"Autres industries manufacturières ; réparation et installation de machines et d'équipements";
"ACTIVITY";"Activité économique";"F";"Construction";
"ACTIVITY";"Activité économique";"C24_25";"Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements";
"ACTIVITY";"Activité économique";"G45";"Commerce et réparation d'automobiles et de motocycles";
"ACTIVITY";"Activité économique";"C15";"Industrie du cuir et de la chaussure";
"ACTIVITY";"Activité économique";"C22";"Fabrication de produits en caoutchouc et en plastique";
"ACTIVITY";"Activité économique";"R92";"Organisation de jeux de hasard et d'argent";
"ACTIVITY";"Activité économique";"J58T60";"Édition, audiovisuel et diffusion";
"ACTIVITY";"Activité économique";"GTI";"Commerce de gros et de détail, transports, hébergement et restauration";
"ACTIVITY";"Activité économique";"L68A";"Loyers imputés des logements occupés par leur propriétaire";
"ACTIVITY";"Activité économique";"M";"Activités spécialisées, scientifiques et techniques";
"ACTIVITY";"Activité économique";"N78";"Activités liées à l'emploi";
"ACTIVITY";"Activité économique";"J58";"Édition";
"ACTIVITY";"Activité économique";"F41";"Construction de bâtiments";
"ACTIVITY";"Activité économique";"J63";"Services d'information";
"ACTIVITY";"Activité économique";"H52";"Entreposage et services auxiliaires des transports";
"ACTIVITY";"Activité économique";"H49";"Transports terrestres et transport par conduites";
"ACTIVITY";"Activité économique";"F43";"Travaux de construction spécialisés";
"ACTIVITY";"Activité économique";"N77";"Activités de location et location-bail";
"ACTIVITY";"Activité économique";"C18";"Imprimerie et reproduction d'enregistrements";
"ACTIVITY";"Activité économique";"138G_C10K";"Fabrication d'aliments pour animaux";
"ACTIVITY";"Activité économique";"E38";"Collecte, traitement et élimination des déchets ; récupération";
"ACTIVITY";"Activité économique";"C13T15";"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure";
"ACTIVITY";"Activité économique";"C21";"Industrie pharmaceutique";
"ACTIVITY";"Activité économique";"M75";"Activités vétérinaires";
"ACTIVITY";"Activité économique";"E";"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";
"ACTIVITY";"Activité économique";"R93";"Activités sportives, récréatives et de loisirs";
