"COUNTERPART_AREA";"ACCOUNTING_ENTRY";"STO";"ACTIVITY";"UNIT_MEASURE";"PRICES";"VALUATION";"FREQ";"REF_AREA";"GEO";"GEO_OBJECT";"OBS_STATUS";"CONF_STATUS";"DECIMALS";"UNIT_MULT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2003;108168.2
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2004;117809
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2005;127296.5
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2006;142151.3
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2000;21152.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"P";"F";"1";"6";"PROV";2024;20957.5
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"P";"F";"1";"6";"SD";2022;18564.5
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"P";"F";"1";"6";"SD";2023;20264.8
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRD";"28";"REG";"A";"F";"1";"6";"D";2004;296.5
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRD";"28";"REG";"A";"F";"1";"6";"D";2003;284.7
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI2";"F";"FRANCE";"A";"F";"1";"6";"D";2001;46.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI2";"F";"FRANCE";"A";"F";"1";"6";"D";2000;39.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI2";"F";"FRANCE";"A";"F";"1";"6";"D";2002;49.2
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"P";"F";"1";"6";"PROV";2024;275.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI";"75";"REG";"A";"F";"1";"6";"D";2004;511.5
