"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit";
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit";
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable";
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde";
"ACTIVITY";"Activité économique";"A";"Agriculture, sylviculture et pêche";
"ACTIVITY";"Activité économique";"BTE";"Industrie manufacturière, industries extractives et autres";
"ACTIVITY";"Activité économique";"C";"Industrie manufacturière";
"ACTIVITY";"Activité économique";"F";"Construction";
"ACTIVITY";"Activité économique";"GTI";"Commerce de gros et de détail, transports, hébergement et restauration";
"ACTIVITY";"Activité économique";"J";"Information et communication";
"ACTIVITY";"Activité économique";"K";"Activités financières et d'assurance";
"ACTIVITY";"Activité économique";"L";"Activités immobilières";
"ACTIVITY";"Activité économique";"M_N";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";
"ACTIVITY";"Activité économique";"RTU";"Arts, divertissement et loisirs ; autres activités de services ; activités des ménages, des organismes et organisations extraterritoriaux";
"ACTIVITY";"Activité économique";"OTQ";"Administration publique, défense, enseignement, santé humaine et action sociale";
"ACTIVITY";"Activité économique";"GTJ";"Commerce de gros et de détail ; réparation d'automobiles et de motocycles";
"ACTIVITY";"Activité économique";"KTN";"Activités financières et d'assurance, activités immobilières, activités spécialisées, scientifiques et techniques, activités de services administratifs et de soutien, administration publique et défense ; sécurité sociale obligatoire, éducation, santé humaine et action sociale, arts, spectacles et activités récréatives, autres activités de services, activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et de services pour usage propre, activités des organisations et organismes extraterritoriaux";
"ACTIVITY";"Activité économique";"OTU";"Administration publique et défense ; sécurité sociale obligatoire";
"ACTIVITY";"Activité économique";"B_D_E";"Industries extractives, énergie, eau, gestion des déchets et dépollution";
"ACTIVITY";"Activité économique";"C10T12";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";
"ACTIVITY";"Activité économique";"C_OTH";"Autres industries manufacturières (C15, C23, C27, C31, C32, C33)";
"ACTIVITY";"Activité économique";"C19";"Cokéfaction et raffinage";
"ACTIVITY";"Activité économique";"C26T28";"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a.";
"ACTIVITY";"Activité économique";"C29_30";"Fabrication de matériels de transport";
"ACTIVITY";"Activité économique";"G";"Commerce ; réparation d'automobiles et de motocycles";
"ACTIVITY";"Activité économique";"H";"Transports et entreposage";
"ACTIVITY";"Activité économique";"I";"Hébergement et restauration";
"ACTIVITY";"Activité économique";"_T";"Total";
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable";
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde";
"COUNTERPART_AREA";"Zone de contrepartie";"W2";"Territoire national";
"DECIMALS";"Décimales";"1";"Un";
"DECIMALS";"Décimales";"3";"Trois";
"FREQ";"Fréquence";"A";"Annuel";
"OBS_STATUS";"Statut de l'observation";"P";"Valeur provisoire";
"OBS_STATUS";"Statut de l'observation";"A";"Normale";
"OBS_STATUS_FR";"Version";"PROV";"Provisoire";
"OBS_STATUS_FR";"Version";"SD";"Semi-définitif";
"OBS_STATUS_FR";"Version";"D";"Définitif";
"PRICES";"Valorisation des prix";"V";"En valeur aux prix courants";
"PRICES";"Valorisation des prix";"_Z";"Non applicable";
"PRICES";"Valorisation des prix";"Y";"Aux prix de l’année précédente";
"PRICES";"Valorisation des prix";"L";"En volume aux prix de l’année précédente chaînés";
"REF_AREA";"Zone géographique de référence";"FR";"France";
"REF_AREA";"Zone géographique de référence";"FRMET";"France métropolitaine";
"REF_AREA";"Zone géographique de référence";"FRMETHIDF";"France métropolitaine hors Ile de France";
"REF_AREA";"Zone géographique de référence";"FRC2";"Franche-Comté";
"REF_AREA";"Zone géographique de référence";"FR1";"Île-de-France";
